Country;Area;WebsiteName;WebsiteURL;Type
USA;National;CNBC;cnbc.com;BU
USA;National;Fox Business Network;foxbusiness.comindex.html;BU
USA;National;E;eonline.com;EN
USA;National;ABC;abcnews.go.com;GI
USA;National;America's Radio News Network;americasradionewsnetwork.com;GI
USA;National;C Span;c-span.org;GI
USA;National;CBS;cbsnews.com;GI
USA;National;CNN;us.cnn.com;GI
USA;National;Fox News;foxnews.com;GI
USA;National;MSNBC;msnbc.com;GI
USA;National;NPR;npr.org;GI
USA;National;One America News Network;oann.com;GI
USA;National;PBS News Hour;pbs.org;GI
USA;National;Univision;univision.com;GI
USA;National;Discovery;dsc.discovery.com;ST
USA;National;CBS Sports;cbssports.com;SP
USA;National;ESPN;espn.go.com;SP
USA;National;Fox Sports;msn.foxsports.com;SP
USA;National;NBC;nbcsports.msnbc.com;SP
USA;National;Benzinga;benzinga.com;BU
USA;National;Biz Journals;bizjournals.com;BU
USA;National;Bloomberg;bloomberg.com;BU
USA;National;Business Insider;businessinsider.com;BU
USA;National;International Business Times;ibtimes.com;BU
USA;National;Kapitall;wire.kapitall.com;BU
USA;National;Market Watch;marketwatch.com;BU
USA;National;Quartz;qz.com;BU
USA;National;RTT News;rttnews.com;BU
USA;National;Street;thestreet.com;BU
USA;National;USA Business Review;businessreviewusa.com;BU
USA;National;Yahoo Finance;https:;BU
USA;National;Zero Hedge;zerohedge.com;BU
USA;National;Access Hollywood;accesshollywood.com;EN
USA;National;Elite Daily;elitedaily.com;EN
USA;National;Eur Web;eurweb.com;EN
USA;National;Jezebel;jezebel.com;EN
USA;National;Radar Online;radaronline.com;EN
USA;National;TMZ;tmz.com;EN
USA;National;Upbeat;2upbeatmag.com;EN
USA;National;Wrap;thewrap.com;EN
USA;National;X17 Online;x17online.com;EN
USA;National;America RU;americaru.com;ET
USA;National;Antena 305;antena305.com;ET
USA;National;Black Electorate;blackelectorate.com;ET
USA;National;Huffington Post Black Voices;huffingtonpost.comblack-voices;ET
USA;National;Huffington Post Voces;voces.huffingtonpost.com;ET
USA;National;Rez Net;reznetnews.org;ET
USA;National;Root;theroot.com;ET
USA;National;1st Headlines;1stheadlines.com;GI
USA;National;20 Minutos;20minutos.com;GI
USA;National;Agonist;agonist.org;GI
USA;National;Allegiant;theallegiant.com;GI
USA;National;Alltop;alltop.com;GI
USA;National;Alter Net;alternet.org;GI
USA;National;American Independent;americanindependent.com;GI
USA;National;American News;americannews.com;GI
USA;National;American Reporter;american-reporter.com;GI
USA;National;An Hour Ago;anhourago.us;GI
USA;National;Anti Media;theantimedia.com;GI
USA;National;Antiwar;antiwar.com;GI
USA;National;AOL;aol.com;GI
USA;National;Axcess News;axcessnews.com;GI
USA;National;Big News Network;bignewsnetwork.com;GI
USA;National;Blaze;theblaze.com;GI
USA;National;Breaking News;breakingnews.com;GI
USA;National;Breitbart;breitbart.com;GI
USA;National;Brief Synopsis;briefsynopsis.com;GI
USA;National;Buzz Feed;buzzfeed.com;GI
USA;National;Buzz Tracker;buzztracker.org;GI
USA;National;Buzzle;buzzle.com;GI
USA;National;CNS News;cnsnews.com;GI
USA;National;Congoo;congoo.com;GI
USA;National;Daily Beast;thedailybeast.com;GI
USA;National;Daily Caller;dailycaller.com;GI
USA;National;Daily Dot;dailydot.com;GI
USA;National;Daily Kos;dailykos.com;GI
USA;National;Daily Signal;dailysignal.com;GI
USA;National;Daily Source;dailysource.org;GI
USA;National;Daily US News;dailynewsus.com;GI
USA;National;Daylife;daylife.com;GI
USA;National;Drudge Report;drudgereport.com;GI
USA;National;E Flux Media;efluxmedia.com;GI
USA;National;Excite;news.excite.com;GI
USA;National;Fact Check;factcheck.org;GI
USA;National;Fark;fark.com;GI
USA;National;Five Thirty Eight;fivethirtyeight.com;GI
USA;National;Fusion;fusion.net;GI
USA;National;Gawker;gawker.com;GI
USA;National;Google;https:;GI
USA;National;Google;https:;GI
USA;National;Hot Air;hotair.com;GI
USA;National;Hot Joints;thehotjoints.com;GI
USA;National;Huffington Post;huffingtonpost.com?country=US;GI
USA;National;I Have Net;ihavenet.com;GI
USA;National;Ideal Media;idealmedia.com;GI
USA;National;Inquisitr;inquisitr.com;GI
USA;National;Intercept;https:;GI
USA;National;Lexis Nexis;lexisnexis.comnews;GI
USA;National;Mashable;mashable.com;GI
USA;National;Maximum Edge;maximumedge.com;GI
USA;National;Media Chat;mediachat.net;GI
USA;National;Mic;mic.com;GI
USA;National;Mint Press News;mintpressnews.com;GI
USA;National;Monsters and Critics;monstersandcritics.com;GI
USA;National;MSN;msn.comen-us;GI
USA;National;MSN;msn.comes-us;GI
USA;National;National Memo;nationalmemo.com;GI
USA;National;New West;newwest.net;GI
USA;National;News and Java;newsandjava.com;GI
USA;National;News at the Speed of Light;newsblogs.blogspot.com;GI
USA;National;News Blaze;newsblaze.com;GI
USA;National;News Busters;newsbusters.org;GI
USA;National;News Dump;newsdump.com;GI
USA;National;News Hijack;newshijack.net;GI
USA;National;News Is Free;newsisfree.com;GI
USA;National;News Mantis;newsmantis.com;GI
USA;National;News Max;newsmax.com;GI
USA;National;News Ringer;newsringer.com;GI
USA;National;News Telegram;newstelegram.com;GI
USA;National;News Vine;newsvine.com;GI
USA;National;News with Bob;newswithbob.com;GI
USA;National;News Zoom;newszoom.com;GI
USA;National;Newsweek;newsweek.com;GI
USA;National;Newsy;newsy.com;GI
USA;National;Next Big Story;thenextbigstory.com;GI
USA;National;Observer;observer.com;GI
USA;National;Online Journal;onlinejournal.com;GI
USA;National;Op Ed News;opednews.com;GI
USA;National;Opposing Views;opposingviews.com;GI
USA;National;Patriot Post;patriotpost.us;GI
USA;National;PJ Media;https:;GI
USA;National;Political Simpleton;politicalsimpleton.com;GI
USA;National;Politicker;politicker.com;GI
USA;National;Post Chronicle;postchronicle.com;GI
USA;National;PR Log;prlog.org;GI
USA;National;Pure Politics;purepolitics.com;GI
USA;National;Raw Story;rawstory.com;GI
USA;National;Real Clear Politics;realclearpolitics.com;GI
USA;National;Real News Network;therealnews.com;GI
USA;National;Red State;redstate.com;GI
USA;National;Salon;salon.com;GI
USA;National;Schwartz Report;schwartzreport.net;GI
USA;National;Slate;slate.com;GI
USA;National;Socratic News;socraticnews.comAll;GI
USA;National;Speak Out;speakout.com;GI
USA;National;Stateline;pewstates.org;GI
USA;National;Taegan Goddard's Political Wire;politicalwire.com;GI
USA;National;Terra;terra.com;GI
USA;National;Third Report;thirdreport.com;GI
USA;National;Times of Earth;timesofearth.com;GI
USA;National;TMN Talk Media News;talkmedianews.com;GI
USA;National;Townhall;townhall.com;GI
USA;National;TPM;talkingpointsmemo.com;GI
USA;National;Trans World News;transworldnews.com;GI
USA;National;Truth Out;truth-out.org;GI
USA;National;Upworthy;upworthy.com;GI
USA;National;US Daily;usdaily.com;GI
USA;National;U.S. News Hub;newshub.us;GI
USA;National;USA Focus;usa-focus.com;GI
USA;National;USA. Headlines;usaheadlines.com;GI
USA;National;Vice;vice.comen_us;GI
USA;National;Views and Previews;viewsandpreviews.com;GI
USA;National;Vox;vox.com;GI
USA;National;Washington Independent;washingtonindependent.com;GI
USA;National;WND;wnd.com;GI
USA;National;World News;wn.com;GI
USA;National;World Pro News;worldpronews.com;GI
USA;National;World Tribune;worldtribune.com;GI
USA;National;Yahoo News;news.yahoo.com;GI
USA;National;Yale Global Online;yaleglobal.yale.edu;GI
USA;National;Armed Forces News Service;usafns.com;ML
USA;National;C Net;news.cnet.com;ST
USA;National;Recode;recode.net;ST
USA;National;Talking New Media;talkingnewmedia.com;ST
USA;National;Tech Talk;thetechherald.com;ST
USA;National;ZD Net;zdnet.com;ST
USA;National;Deadspin;deadspin.com;SP
USA;National;Fansided;fansided.com;SP
USA;National;Post Game;thepostgame.com;SP
USA;National;Rant Sports;rantsports.com;SP
USA;National;SB Nation;sbnation.com;SP
USA;National;Scout;scout.com;SP
USA;National;Sporting News;aol.sportingnews.com;SP
USA;National;Sports on Earth;sportsonearth.com;SP
USA;National;Yahoo Sports;sports.yahoo.com;SP
USA;National;Yard Barker;yardbarker.com;SP
USA;National;Barron's;online.barrons.comhome-page;BU
USA;National;Business Week;businessweek.com;BU
USA;National;Forbes;forbes.com;BU
USA;National;Fortune;money.cnn.commagazines;BU
USA;National;Money;money.cnn.com;BU
USA;National;Smart Money;smartmoney.com;BU
USA;National;Billboard;billboard.com;EN
USA;National;Entertainment Weekly;ew.comew;EN
USA;National;Hollywood Reporter;hollywoodreporter.com;EN
USA;National;Hollywood Weekly;hollywoodweeklymagazine.com;EN
USA;National;National Enquirer;nationalenquirer.com;EN
USA;National;People;people.compeople;EN
USA;National;Rolling Stone;rollingstone.com;EN
USA;National;Star;radaronline.comstar;EN
USA;National;Us;usmagazine.com;EN
USA;National;American;american.com;GI
USA;National;American Profile;americanprofile.com;GI
USA;National;American Prospect;prospect.org;GI
USA;National;American Spectator;spectator.org;GI
USA;National;Atlantic Monthly;theatlantic.com;GI
USA;National;Christian Science Monitor;csmonitor.com;GI
USA;National;Contacto;contactomagazine.com;GI
USA;National;Harper's;harpers.org;GI
USA;National;Hill;thehill.com;GI
USA;National;Mother Jones;motherjones.com;GI
USA;National;Nation;thenation.com;GI
USA;National;National Journal;nationaljournal.com;GI
USA;National;National Review;nationalreview.com;GI
USA;National;New Republic;tnr.com;GI
USA;National;New Yorker;newyorker.com;GI
USA;National;Parade;parade.com;GI
USA;National;Reason;reason.com;GI
USA;National;Roll Call;rollcall.com;GI
USA;National;Saturday Evening Post;saturdayeveningpost.com;GI
USA;National;Time;time.comtime;GI
USA;National;U.S. News and World Report;usnews.com;GI
